data;curs;cdx
20.03.2022;78,1090;Доллар США
19.03.2022;78,1090;Доллар США
18.03.2022;78,1090;Доллар США
17.03.2022;78,1090;Доллар США
16.03.2022;78,1090;Доллар США
15.03.2022;78,1090;Доллар США
14.03.2022;78,1090;Доллар США
13.03.2022;78,1090;Доллар США
12.03.2022;78,1090;Доллар США
11.03.2022;78,1090;Доллар США
10.03.2022;78,1090;Доллар США
09.03.2022;78,1090;Доллар США
08.03.2022;78,1090;Доллар США
07.03.2022;78,1090;Доллар США
06.03.2022;78,1090;Доллар США
05.03.2022;78,1089;Доллар США
04.03.2022;78,1089;Доллар США
03.03.2022;78,1090;Доллар США
02.03.2022;78,1091;Доллар США
01.03.2022;78,1092;Доллар США
28.02.2022;78,1090;Доллар США
27.02.2022;78,1087;Доллар США
26.02.2022;78,1085;Доллар США
25.02.2022;78,1088;Доллар США
24.02.2022;78,1095;Доллар США
23.02.2022;78,1102;Доллар США
22.02.2022;78,1096;Доллар США
21.02.2022;78,1076;Доллар США
20.02.2022;78,1064;Доллар США
19.02.2022;78,1074;Доллар США
18.02.2022;78,1109;Доллар США
17.02.2022;78,1144;Доллар США
16.02.2022;78,1151;Доллар США
15.02.2022;78,1055;Доллар США
14.02.2022;78,0937;Доллар США
13.02.2022;78,0979;Доллар США
12.02.2022;78,1144;Доллар США
11.02.2022;78,1353;Доллар США
10.02.2022;78,1392;Доллар США
09.02.2022;78,1196;Доллар США
08.02.2022;78,0384;Доллар США
07.02.2022;78,0108;Доллар США
06.02.2022;78,1278;Доллар США
05.02.2022;78,2298;Доллар США
04.02.2022;78,2814;Доллар США
03.02.2022;78,1668;Доллар США
02.02.2022;77,9822;Доллар США
01.02.2022;77,4702;Доллар США
29.01.2022;77,8174;Доллар США
28.01.2022;78,9470;Доллар США
27.01.2022;78,9437;Доллар США
26.01.2022;78,6422;Доллар США
25.01.2022;77,3649;Доллар США
22.01.2022;76,6903;Доллар США
